Dataset Parameters,Mean Wait Time (FIFO),Wait Time Stdev (FIFO),Mean Wait Time (GP),Wait Time Stdev (GP),Mean Unload Time (FIFO),Unload Time Stdev (FIFO),Mean Unload Time (GP),Unload Time Stdev (GP),Mean Overtime (FIFO),Overtime Stdev (FIFO),Mean Overtime (GP),Overtime Stdev (GP)
"Trucks: 12, Peaks: [[11, 1], [14, 0.6]], Spread: 4, Seed: 245822",1697.56,73.93,1523.22,70.06,737.55,9.31,675.68,10.14,287.02,43.47,250.85,22.57
"Trucks: 16, Peaks: [[13, 1], [15, 0.6]], Spread: 4, Seed: 45497",1032.08,48.69,790.56,39.02,864.58,13.16,835.38,12.60,337.75,27.76,239.98,18.15
"Trucks: 20, Peaks: [[13, 1], [14, 0.6]], Spread: 3, Seed: 502701",2455.68,104.56,2229.58,92.86,1073.6,17.39,1073.6,17.39,841.83,57.15,740.53,50.46
"Trucks: 12, Peaks: [[12, 1], [15, 0.6]], Spread: 4, Seed: 117156",345.54,49.97,283.74,24.29,596.51,20.79,620.81,11.26,0.0,0.00,0.0,0.00
"Trucks: 12, Peaks: [[11, 1], [14, 0.6]], Spread: 4, Seed: 426105",720.23,46.58,487.31,25.78,813.47,22.58,766.18,10.99,0.0,0.00,0.0,0.00
"Trucks: 16, Peaks: [[10, 1], [16, 0.6]], Spread: 4, Seed: 730036",712.39,35.86,587.91,31.14,706.29,14.41,697.73,14.32,230.4,25.09,175.87,18.54
"Trucks: 20, Peaks: [[10, 1], [17, 0.6]], Spread: 3, Seed: 442447",2301.07,129.19,1397.01,58.71,1090.14,16.45,1024.5,16.06,48.95,15.20,109.95,5.93
"Trucks: 16, Peaks: [[12, 1], [14, 0.6]], Spread: 4, Seed: 259442",365.04,58.34,256.39,31.67,735.57,24.30,703.68,13.70,0.0,0.00,0.0,0.00
"Trucks: 20, Peaks: [[13, 1], [15, 0.6]], Spread: 3, Seed: 537647",3220.37,102.00,2329.24,68.92,1130.88,14.37,1100.36,14.20,1289.13,66.43,910.93,37.06
"Trucks: 16, Peaks: [[12, 1], [15, 0.6]], Spread: 4, Seed: 544365",756.73,52.72,588.83,45.41,996.85,13.94,921.28,13.13,15.05,4.63,0.0,0.00
"Trucks: 16, Peaks: [[10, 1], [14, 0.6]], Spread: 4, Seed: 127070",496.71,32.52,428.99,31.09,694.35,12.73,680.58,12.29,0.0,0.00,0.0,0.00
"Trucks: 16, Peaks: [[9, 1], [16, 0.6]], Spread: 4, Seed: 642489",225.01,38.72,118.69,22.11,804.21,14.72,799.42,13.93,68.24,12.95,31.09,6.93
"Trucks: 16, Peaks: [[9, 1], [17, 0.6]], Spread: 4, Seed: 256981",1320.59,58.34,964.99,33.98,989.31,14.42,989.31,14.42,19.27,9.56,26.47,6.17
"Trucks: 16, Peaks: [[13, 1], [16, 0.6]], Spread: 4, Seed: 247087",280.5,61.61,219.36,28.64,805.71,21.85,807.45,13.94,143.05,22.69,132.31,13.99
"Trucks: 16, Peaks: [[9, 1], [14, 0.6]], Spread: 4, Seed: 709629",473.03,42.53,420.68,38.63,732.97,15.47,738.79,13.19,38.95,9.60,36.88,9.60
"Trucks: 16, Peaks: [[12, 1], [14, 0.6]], Spread: 4, Seed: 692042",460.14,46.08,356.51,26.06,748.67,23.28,762.95,14.18,8.71,4.58,11.49,6.10
"Trucks: 20, Peaks: [[9, 1], [17, 0.6]], Spread: 3, Seed: 831279",2724.76,102.38,1912.54,85.39,1118.08,17.33,1105.45,16.01,146.94,24.72,124.66,19.86
"Trucks: 12, Peaks: [[17, 1], [9, 0.6]], Spread: 3, Seed: 959702",270.14,16.48,234.73,14.09,616.34,13.86,558.65,12.33,290.08,17.21,283.67,12.51
"Trucks: 20, Peaks: [[11, 1], [14, 0.6]], Spread: 4, Seed: 200467",635.09,56.34,462.11,47.39,963.17,20.10,962.48,16.26,1.05,2.46,1.72,4.03
"Trucks: 20, Peaks: [[11, 1], [16, 0.6]], Spread: 4, Seed: 956778",541.13,64.02,449.68,50.84,821.74,21.19,816.41,13.61,67.8,12.53,66.08,12.25
"Trucks: 12, Peaks: [[15, 1], [13, 0.6]], Spread: 3, Seed: 299938",494.89,49.65,384.8,39.03,604.68,17.71,622.2,11.25,139.55,25.58,82.66,14.79
"Trucks: 12, Peaks: [[15, 1], [10, 0.6]], Spread: 3, Seed: 623737",493.12,26.13,345.47,25.65,623.55,10.16,553.96,11.63,466.17,23.30,318.12,22.25
"Trucks: 12, Peaks: [[15, 1], [13, 0.6]], Spread: 3, Seed: 713943",197.7,36.85,151.59,14.61,592.12,20.69,549.17,12.94,0.0,0.00,0.0,0.00
"Trucks: 20, Peaks: [[10, 1], [16, 0.6]], Spread: 3, Seed: 476",1494.17,88.34,1148.47,67.95,1112.71,16.39,1103.45,15.83,210.62,40.75,141.78,20.80
"Trucks: 20, Peaks: [[10, 1], [17, 0.6]], Spread: 4, Seed: 47046",493.86,42.96,383.76,28.73,1072.58,31.81,1102.62,14.49,288.9,22.95,286.16,20.80
"Trucks: 20, Peaks: [[11, 1], [15, 0.6]], Spread: 4, Seed: 638013",2763.24,79.77,2071.88,69.02,1104.77,14.50,1046.8,14.58,1182.29,56.63,918.6,48.23
"Trucks: 20, Peaks: [[9, 1], [14, 0.6]], Spread: 4, Seed: 194472",1118.87,54.50,981.43,47.02,992.01,15.63,960.64,14.93,23.72,5.98,23.72,5.98
"Trucks: 20, Peaks: [[13, 1], [17, 0.6]], Spread: 4, Seed: 165602",2805.49,115.81,2288.19,99.18,1108.06,15.33,1108.06,15.33,1306.58,83.74,972.63,63.64
"Trucks: 12, Peaks: [[15, 1], [10, 0.6]], Spread: 3, Seed: 853105",65.25,8.31,65.63,8.03,477.31,19.00,399.14,11.87,80.02,10.15,79.57,9.68
"Trucks: 20, Peaks: [[13, 1], [16, 0.6]], Spread: 4, Seed: 393422",2446.73,115.58,2056.68,115.42,1220.15,15.94,1222.0,14.00,1499.63,81.03,1307.52,68.27
"Trucks: 20, Peaks: [[9, 1], [15, 0.6]], Spread: 4, Seed: 828926",1389.6,57.73,1065.89,51.94,1136.52,21.88,1037.69,15.96,29.27,12.22,70.28,10.01
"Trucks: 12, Peaks: [[15, 1], [10, 0.6]], Spread: 3, Seed: 664260",823.14,66.14,714.27,57.95,643.03,11.20,643.03,11.20,18.19,11.37,20.51,8.36
"Trucks: 16, Peaks: [[14, 1], [11, 0.6]], Spread: 3, Seed: 418888",1411.52,92.70,928.39,75.59,934.0,15.83,907.02,14.80,16.99,10.71,37.93,11.56
"Trucks: 12, Peaks: [[14, 1], [10, 0.6]], Spread: 3, Seed: 491099",151.4,21.66,134.37,11.44,555.51,24.91,551.5,12.07,0.0,0.00,0.0,0.00
